PyTorch Version: 1.7.0
CUDA device available: False
Using CUDA device: cpu
Random Seed: 42
Output Path: /home/bu20/2021/UP_courses/DL/project/UTK_final/
Script: run_model.py
Epoch: 010/050 | Batch 0050/0190 | Cost: 5.1650
Epoch: 010/050 | Batch 0075/0190 | Cost: 4.4334
Epoch: 010/050 | Batch 0100/0190 | Cost: 6.9279
Epoch: 010/050 | Batch 0125/0190 | Cost: 6.7714
Epoch: 010/050 | Batch 0150/0190 | Cost: 5.5897
Epoch: 010/050 | Batch 0175/0190 | Cost: 4.9444
CS/MAE/RMSE: | Current Valid: 0.26/9.07/10.56 Ep. 9 | Best Valid :                0.36/7.74/9.37 Ep. 8
Time elapsed: 117.04 min
Epoch: 011/050 | Batch 0000/0190 | Cost: 5.8551
Epoch: 011/050 | Batch 0025/0190 | Cost: 5.7491
Epoch: 011/050 | Batch 0050/0190 | Cost: 5.2666
Epoch: 011/050 | Batch 0075/0190 | Cost: 4.7312
Epoch: 011/050 | Batch 0100/0190 | Cost: 6.5492
Epoch: 011/050 | Batch 0125/0190 | Cost: 6.7051
Epoch: 011/050 | Batch 0150/0190 | Cost: 5.0096
Epoch: 011/050 | Batch 0175/0190 | Cost: 5.0737
CS/MAE/RMSE: | Current Valid: 0.28/8.66/10.11 Ep. 10 | Best Valid :                0.36/7.74/9.37 Ep. 8
Time elapsed: 128.67 min
Epoch: 012/050 | Batch 0000/0190 | Cost: 5.2998
Epoch: 012/050 | Batch 0025/0190 | Cost: 5.5821
Epoch: 012/050 | Batch 0050/0190 | Cost: 5.2402
Epoch: 012/050 | Batch 0075/0190 | Cost: 4.0651
Epoch: 012/050 | Batch 0100/0190 | Cost: 6.6190
Epoch: 012/050 | Batch 0125/0190 | Cost: 6.0739
Epoch: 012/050 | Batch 0150/0190 | Cost: 5.5078
Epoch: 012/050 | Batch 0175/0190 | Cost: 5.3885
CS/MAE/RMSE: | Current Valid: 0.19/12.67/14.64 Ep. 11 | Best Valid :                0.36/7.74/9.37 Ep. 8
Time elapsed: 140.18 min
Epoch: 013/050 | Batch 0000/0190 | Cost: 5.2585
Epoch: 013/050 | Batch 0025/0190 | Cost: 5.1736
Epoch: 013/050 | Batch 0050/0190 | Cost: 4.7764
Epoch: 013/050 | Batch 0075/0190 | Cost: 4.4662
Epoch: 013/050 | Batch 0100/0190 | Cost: 6.3573
Epoch: 013/050 | Batch 0125/0190 | Cost: 6.3996
Epoch: 013/050 | Batch 0150/0190 | Cost: 5.0258
Epoch: 013/050 | Batch 0175/0190 | Cost: 5.1838
CS/MAE/RMSE: | Current Valid: 0.27/9.25/10.89 Ep. 12 | Best Valid :                0.36/7.74/9.37 Ep. 8
Time elapsed: 151.74 min
Epoch: 014/050 | Batch 0000/0190 | Cost: 5.2115
Epoch: 014/050 | Batch 0025/0190 | Cost: 5.9356
Epoch: 014/050 | Batch 0050/0190 | Cost: 4.9075
Epoch: 014/050 | Batch 0075/0190 | Cost: 4.1304
Epoch: 014/050 | Batch 0100/0190 | Cost: 6.6589
Epoch: 014/050 | Batch 0125/0190 | Cost: 5.7140
Epoch: 014/050 | Batch 0150/0190 | Cost: 4.9045
Epoch: 014/050 | Batch 0175/0190 | Cost: 4.9176
CS/MAE/RMSE: | Current Valid: 0.29/9.05/10.75 Ep. 13 | Best Valid :                0.36/7.74/9.37 Ep. 8
Time elapsed: 163.26 min
Epoch: 015/050 | Batch 0000/0190 | Cost: 5.2108
Epoch: 015/050 | Batch 0025/0190 | Cost: 5.6994
Epoch: 015/050 | Batch 0050/0190 | Cost: 4.6468
Epoch: 015/050 | Batch 0075/0190 | Cost: 4.3868
Epoch: 015/050 | Batch 0100/0190 | Cost: 6.3742
Epoch: 015/050 | Batch 0125/0190 | Cost: 5.8517
Epoch: 015/050 | Batch 0150/0190 | Cost: 4.4686
Epoch: 015/050 | Batch 0175/0190 | Cost: 5.0543
CS/MAE/RMSE: | Current Valid: 0.24/9.78/11.47 Ep. 14 | Best Valid :                0.36/7.74/9.37 Ep. 8
Time elapsed: 174.92 min
Epoch: 016/050 | Batch 0000/0190 | Cost: 5.3454
Epoch: 016/050 | Batch 0025/0190 | Cost: 5.0801
Epoch: 016/050 | Batch 0050/0190 | Cost: 4.9722
Epoch: 016/050 | Batch 0075/0190 | Cost: 4.1382
Epoch: 016/050 | Batch 0100/0190 | Cost: 6.2262
Epoch: 016/050 | Batch 0125/0190 | Cost: 6.0101
Epoch: 016/050 | Batch 0150/0190 | Cost: 4.7563
Epoch: 016/050 | Batch 0175/0190 | Cost: 4.9859
CS/MAE/RMSE: | Current Valid: 0.32/8.39/10.13 Ep. 15 | Best Valid :                0.36/7.74/9.37 Ep. 8
Time elapsed: 186.47 min
Epoch: 017/050 | Batch 0000/0190 | Cost: 4.5120
Epoch: 017/050 | Batch 0025/0190 | Cost: 5.4008
Epoch: 017/050 | Batch 0050/0190 | Cost: 4.6640
Epoch: 017/050 | Batch 0075/0190 | Cost: 3.9603
Epoch: 017/050 | Batch 0100/0190 | Cost: 6.0278
Epoch: 017/050 | Batch 0125/0190 | Cost: 6.0995
Epoch: 017/050 | Batch 0150/0190 | Cost: 4.8832
Epoch: 017/050 | Batch 0175/0190 | Cost: 4.5147
CS/MAE/RMSE: | Current Valid: 0.29/9.94/11.95 Ep. 16 | Best Valid :                0.36/7.74/9.37 Ep. 8
Time elapsed: 198.11 min
Epoch: 018/050 | Batch 0000/0190 | Cost: 4.8770
Epoch: 018/050 | Batch 0025/0190 | Cost: 4.9727
Epoch: 018/050 | Batch 0050/0190 | Cost: 4.9134
Epoch: 018/050 | Batch 0075/0190 | Cost: 4.3791
Epoch: 018/050 | Batch 0100/0190 | Cost: 5.9670
Epoch: 018/050 | Batch 0125/0190 | Cost: 5.7774
Epoch: 018/050 | Batch 0150/0190 | Cost: 4.7259
